Original File Name:,T:\BehavioralTasks\StimTool\DotProbe\data/DP-AAXXX-Admin_RA-run_1-2014_Oct_03_0952.csv,Time:,2014_Oct_03_0952,Parameter File:,T:\BehavioralTasks\StimTool\DotProbe\T1000_DP_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10), ('TASK_END', 99)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,0.00506159817542,NA,NA,NA
NA,NA,2,7.9264202153,7.92135861713,NA,NA
0,10001110,3,7.94723634027,NA,NA,NA
0,10001110,4,8.95353125847,NA,NA,NA
0,10001110,5,9.15331993693,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/T0/25711.bmp T:\BehavioralTasks\StimTool\DotProbe\media/T0/A79.bmp
0,10001110,6,10.1527546041,NA,NA,NA
0,10001110,7,11.1544011084,1.00164650423,-1,0
0,10001110,8,11.1827608697,NA,NA,NA
1,10011110,3,15.1955567483,NA,NA,NA
1,10011110,4,16.201881363,NA,NA,NA
1,10011110,5,16.4008704365,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/T0/22055.2.bmp T:\BehavioralTasks\StimTool\DotProbe\media/T0/A139.bmp
1,10011110,6,17.4010346836,NA,NA,NA
1,10011110,7,18.3112017648,0.910167081134,1,1
2,100101,3,19.3369892986,NA,NA,NA
2,100101,4,20.3428164058,NA,NA,NA
2,100101,5,20.5426839082,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/T0/02480.bmp T:\BehavioralTasks\StimTool\DotProbe\media/T0/A89.bmp
2,100101,6,21.0419149163,NA,NA,NA
2,100101,7,22.0413473838,0.99943246748,1,1
3,11100,3,23.0651001596,NA,NA,NA
3,11100,4,24.074166015,NA,NA,NA
3,11100,5,24.2747506321,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/T0/02220.bmp T:\BehavioralTasks\StimTool\DotProbe\media/T0/A217.bmp
3,11100,6,25.2703383234,NA,NA,NA
3,11100,7,26.2292662736,0.958927950133,-1,1
4,101010,3,27.252968822,NA,NA,NA
4,101010,4,28.2595005787,NA,NA,NA
4,101010,5,28.4591715712,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/T0/A227.bmp T:\BehavioralTasks\StimTool\DotProbe\media/T0/07255.bmp
4,101010,6,29.4583664669,NA,NA,NA
4,101010,7,30.113664152,0.655297685105,-1,1
5,1111010,3,31.1422772499,NA,NA,NA
5,1111010,4,32.1483719919,NA,NA,NA
5,1111010,5,32.348132807,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/T0/A167.bmp T:\BehavioralTasks\StimTool\DotProbe\media/T0/13103.bmp
5,1111010,6,33.3474919499,NA,NA,NA
5,1111010,7,36.1034643314,2.75597238155,1,0
5,1111010,8,36.1304646544,NA,NA,NA
NA,NA,99,37.4274788394,NA,NA,NA
