Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\data/DP-AAXXX-Admin_RA-run_P-2014_Aug_21_1052.csv,Time:,2014_Aug_21_1052,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\T1000_DP_ScheduleP.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00497975782946,NA,NA,NA
NA,NA,2,177.217644488,177.222624246,NA,NA
0,1010111,3,177.234397878,NA,NA,NA
0,1010111,4,178.236048613,NA,NA,NA
0,1010111,5,178.436452658,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA14.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P1.bmp
0,1010111,6,179.437992203,NA,NA,NA
0,1010111,7,180.679757275,1.24176507165,-1,1
1,11000,3,181.691777418,NA,NA,NA
1,11000,4,182.693549036,NA,NA,NA
1,11000,5,182.893824215,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P32.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA25.bmp
1,11000,6,183.895395121,NA,NA,NA
1,11000,7,184.655798243,0.7604031214,1,1
2,111000,3,185.665210567,NA,NA,NA
2,111000,4,186.666706492,NA,NA,NA
2,111000,5,186.866999918,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P16.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA24.bmp
2,111000,6,187.868624138,NA,NA,NA
2,111000,7,188.720639332,0.852015193603,-1,1
3,1111101,3,189.738464131,NA,NA,NA
3,1111101,4,190.740273667,NA,NA,NA
3,1111101,5,190.940378926,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA28.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P12.bmp
3,1111101,6,191.942240351,NA,NA,NA
3,1111101,7,192.68770532,0.745464969783,1,1
4,11100,3,193.711718522,NA,NA,NA
4,11100,4,194.713360418,NA,NA,NA
4,11100,5,194.913634172,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA3.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P20.bmp
4,11100,6,195.915294601,NA,NA,NA
4,11100,7,196.551673658,0.636379057735,-1,1
5,1100000,3,197.568100322,NA,NA,NA
5,1100000,4,198.569824613,NA,NA,NA
5,1100000,5,198.770025381,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P19.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA11.bmp
5,1100000,6,199.271014539,NA,NA,NA
5,1100000,7,200.056605763,0.785591223907,1,1
6,1110011,3,201.073909683,NA,NA,NA
6,1110011,4,202.075532192,NA,NA,NA
6,1110011,5,202.275982424,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P30.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA21.bmp
6,1110011,6,203.27756559,NA,NA,NA
