Original File Name:,T:\BehavioralTasks\StimTool\DotProbe\data/DP-AAXXX-Admin_RA-run_P-2014_Oct_03_0948.csv,Time:,2014_Oct_03_0948,Parameter File:,T:\BehavioralTasks\StimTool\DotProbe\T1000_DP_ScheduleP.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10), ('TASK_END', 99)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,0.00507552985346,NA,NA,NA
NA,NA,2,6.68035233944,6.67527680959,NA,NA
0,1111,3,6.69871942226,NA,NA,NA
0,1111,4,7.70455532837,NA,NA,NA
0,1111,5,7.90433117502,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P15.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA32.bmp
0,1111,6,8.90364449,NA,NA,NA
0,1111,7,9.82816339804,0.924518908035,1,1
1,1111010,3,10.8551930509,NA,NA,NA
1,1111010,4,11.8607528898,NA,NA,NA
1,1111010,5,12.0605840966,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P26.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA17.bmp
1,1111010,6,13.0598996113,NA,NA,NA
1,1111010,7,13.7744201214,0.714520510179,-1,1
2,11110,3,14.8008679435,NA,NA,NA
2,11110,4,15.8068845948,NA,NA,NA
2,11110,5,16.0067077358,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P9.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA15.bmp
2,11110,6,17.0059594581,NA,NA,NA
2,11110,7,17.6877911216,0.681831663549,-1,0
2,11110,8,17.7180752875,NA,NA,NA
3,1000,3,21.7307897758,NA,NA,NA
3,1000,4,22.7372016467,NA,NA,NA
3,1000,5,22.9370324868,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P20.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA21.bmp
3,1000,6,23.9352382335,NA,NA,NA
3,1000,7,24.6672448313,0.732006597749,-1,1
4,111000,3,25.6910379356,NA,NA,NA
4,111000,4,26.7021246174,NA,NA,NA
4,111000,5,26.897219054,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA3.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P13.bmp
4,111000,6,27.8963116619,NA,NA,NA
4,111000,7,28.8965668315,1.00025516966,1,1
5,1101000,3,29.9251238361,NA,NA,NA
5,1101000,4,30.9313241656,NA,NA,NA
5,1101000,5,31.1313295183,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA28.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P25.bmp
5,1101000,6,32.1306307347,NA,NA,NA
5,1101000,7,33.2686650557,1.13803432105,1,1
6,10010,3,34.2923547724,NA,NA,NA
6,10010,4,35.3019606635,NA,NA,NA
6,10010,5,35.502085902,NA,NA,T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/PA29.bmp T:\BehavioralTasks\StimTool\DotProbe\media/PRACTICE/P29.bmp
6,10010,6,36.0034202267,NA,NA,NA
6,10010,7,37.0424245224,1.03900429572,-1,0
6,10010,8,37.0717862646,NA,NA,NA
NA,NA,99,39.3446605199,NA,NA,NA
