Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\data/DP-RAYUS-Admin_RTK-run_1-2014_Sep_05_1051.csv,Time:,2014_Sep_05_1051,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\T1000_DP_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00462309643626,NA,NA,NA
NA,NA,2,8.7200354879,8.72465858434,NA,NA
0,10111010,3,8.73697647406,NA,NA,NA
0,10111010,4,9.73905257951,NA,NA,NA
0,10111010,5,9.93891635817,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/237.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A140.bmp
0,10111010,6,10.439673729,NA,NA,NA
0,10111010,7,11.1603799583,0.720706229331,-1,1
1,10010010,3,12.1759875271,NA,NA,NA
1,10010010,4,13.1775279278,NA,NA,NA
1,10010010,5,13.3778073838,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/2121.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A188.bmp
1,10010010,6,14.3794575484,NA,NA,NA
1,10010010,7,15.2805842389,0.901126690558,1,1
2,1111100,3,16.2993410332,NA,NA,NA
2,1111100,4,17.3011522798,NA,NA,NA
2,1111100,5,17.5013456354,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A164.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/192.bmp
2,1111100,6,18.503360159,NA,NA,NA
2,1111100,7,19.4803747467,0.977014587726,1,1
3,10011000,3,20.4896827239,NA,NA,NA
3,10011000,4,21.4912909786,NA,NA,NA
3,10011000,5,21.6917064278,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/2105.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A160.bmp
3,10011000,6,22.6939940782,NA,NA,NA
3,10011000,7,23.4323104257,0.738316347473,1,1
4,1011010,3,24.4462182223,NA,NA,NA
4,1011010,4,25.4480331752,NA,NA,NA
4,1011010,5,25.648320614,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/128.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A75.bmp
4,1011010,6,26.1490201093,NA,NA,NA
4,1011010,7,27.2084556834,1.05943557411,1,1
5,1000101,3,28.2191940123,NA,NA,NA
5,1000101,4,29.2208735424,NA,NA,NA
5,1000101,5,29.421135037,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A210.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/123.bmp
5,1000101,6,29.9220902678,NA,NA,NA
5,1000101,7,30.8644043584,0.942314090673,1,1
6,101001,3,31.875381602,NA,NA,NA
6,101001,4,32.8768344766,NA,NA,NA
