Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\data/DP-RAYUS-Admin_RTK-run_P-2014_Sep_05_1007.csv,Time:,2014_Sep_05_1007,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\T1000_DP_ScheduleP.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00495238811709,NA,NA,NA
NA,NA,2,161.144409456,161.149361844,NA,NA
0,1111,3,161.161441389,NA,NA,NA
0,1111,4,162.162923059,NA,NA,NA
0,1111,5,162.363225608,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA4.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P21.bmp
0,1111,6,162.86405739,NA,NA,NA
0,1111,7,163.847521533,0.983464142424,1,1
1,1101110,3,164.867356009,NA,NA,NA
1,1101110,4,165.869087427,NA,NA,NA
1,1101110,5,166.069394253,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA30.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P17.bmp
1,1101110,6,166.570170155,NA,NA,NA
1,1101110,7,167.511543413,0.941373257316,-1,1
2,1111110,3,168.523373108,NA,NA,NA
2,1111110,4,169.525122488,NA,NA,NA
2,1111110,5,169.725414773,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA6.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P26.bmp
2,1111110,6,170.22627307,NA,NA,NA
2,1111110,7,171.135472965,0.909199895454,1,1
3,11110,3,172.146455341,NA,NA,NA
3,11110,4,173.148400015,NA,NA,NA
3,11110,5,173.348145191,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA12.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P15.bmp
3,11110,6,173.848920524,NA,NA,NA
3,11110,7,174.703475112,0.854554588092,-1,1
4,111000,3,175.718629085,NA,NA,NA
4,111000,4,176.720210255,NA,NA,NA
4,111000,5,176.921337031,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P16.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA24.bmp
4,111000,6,177.92244864,NA,NA,NA
4,111000,7,179.295383831,1.37293519173,-1,1
5,1000,3,180.309571882,NA,NA,NA
5,1000,4,181.311323828,NA,NA,NA
5,1000,5,181.511570782,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P4.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA18.bmp
5,1000,6,182.513311894,NA,NA,NA
5,1000,7,183.1113768,0.598064905615,1,1
6,11111,3,184.132652461,NA,NA,NA
6,11111,4,185.134338549,NA,NA,NA
6,11111,5,185.33475913,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA1.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P6.bmp
6,11111,6,185.835558695,NA,NA,NA
6,11111,7,186.479492359,0.643933663843,-1,1
7,110110,3,187.488262636,NA,NA,NA
7,110110,4,188.489832972,NA,NA,NA
7,110110,5,188.690330816,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA13.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P10.bmp
7,110110,6,189.692096446,NA,NA,NA
7,110110,7,190.743372145,1.0512756987,1,1
8,1101,3,191.76199152,NA,NA,NA
8,1101,4,192.763714956,NA,NA,NA
8,1101,5,192.964083933,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA31.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P9.bmp
8,1101,6,193.96571186,NA,NA,NA
8,1101,7,194.711278326,0.745566465775,-1,1
9,111010,3,195.735422674,NA,NA,NA
9,111010,4,196.736928862,NA,NA,NA
9,111010,5,196.937263343,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P5.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA10.bmp
9,111010,6,197.438089138,NA,NA,NA
9,111010,7,198.183290959,0.745201821555,-1,1
10,11000,3,199.207649133,NA,NA,NA
10,11000,4,200.209566437,NA,NA,NA
10,11000,5,200.409814532,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P32.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA25.bmp
10,11000,6,201.411498053,NA,NA,NA
10,11000,7,202.20737458,0.795876527322,1,1
11,100,3,203.231095553,NA,NA,NA
11,100,4,204.232760828,NA,NA,NA
