Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\data/DP-RTK-Admin_RA-run_1-2014_Aug_05_1047.csv,Time:,2014_Aug_05_1047,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\T1000_DP_Schedule1.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00499560050957,NA,NA,NA
NA,NA,2,5.21744313381,5.22243873432,NA,NA
0,10101001,3,5.2375150875,NA,NA,NA
0,10101001,4,6.24274498485,NA,NA,NA
0,10101001,5,6.44316169017,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/2120.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A307.bmp
0,10101001,6,7.44857709947,NA,NA,NA
0,10101001,7,9.15727530047,1.70869820101,-1,1
1,1011100,3,10.1818358369,NA,NA,NA
1,1011100,4,11.1971002447,NA,NA,NA
1,1011100,5,11.3970267731,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A255.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/112.bmp
1,1011100,6,12.3868866749,NA,NA,NA
1,1011100,7,13.0749233902,0.688036715233,-1,1
2,1110011,3,14.1015934835,NA,NA,NA
2,1110011,4,15.1084999544,NA,NA,NA
2,1110011,5,15.3083824879,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/1111.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A135.bmp
2,1110011,6,16.307021578,NA,NA,NA
2,1110011,7,17.1542279183,0.847206340259,-1,1
3,10100,3,18.177710579,NA,NA,NA
3,10100,4,19.1840348502,NA,NA,NA
3,10100,5,19.3840134394,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/A250.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/015.bmp
3,10100,6,19.8831150262,NA,NA,NA
3,10100,7,20.8549469054,0.971831879229,1,1
4,1001000,3,21.8842229652,NA,NA,NA
4,1001000,4,22.8900731911,NA,NA,NA
