Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\data/DP-RTK-Admin_RA-run_P-2014_Aug_05_1032.csv,Time:,2014_Aug_05_1032,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\T1000_DP_ScheduleP.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('TRIAL_ONSET', 3), ('CUE_ONSET', 4), ('IMAGE_ONSET', 5), ('TARGET_ONSET', 6), ('RESPONSE', 7), ('ERROR_DELAY', 8), ('BREAK_ONSET', 9), ('BREAK_END', 10)],Trial Types are coded as follows: 8 bits representing [valence neut/neg/pos] [target_orientation H/V] [target_side left/right] [duration .5/1] [valenced_image left/right] [cue_orientation H/V] [cue_side left/right]
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00499376739026,NA,NA,NA
NA,NA,2,230.257193287,230.262187054,NA,NA
0,1101001,3,230.285808689,NA,NA,NA
0,1101001,4,231.292359168,NA,NA,NA
0,1101001,5,231.492414015,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P25.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA27.bmp
0,1101001,6,232.490594458,NA,NA,NA
0,1101001,7,234.033516828,1.54292237057,-1,1
1,1101110,3,235.067836174,NA,NA,NA
1,1101110,4,236.076011898,NA,NA,NA
1,1101110,5,236.276457567,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA30.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P17.bmp
1,1101110,6,236.777716738,NA,NA,NA
1,1101110,7,237.649698457,0.87198171865,-1,1
2,11001,3,238.673929765,NA,NA,NA
2,11001,4,239.686399761,NA,NA,NA
2,11001,5,239.889291548,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P23.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA15.bmp
2,11001,6,240.878806823,NA,NA,NA
2,11001,7,241.868175448,0.989368625087,1,1
3,100111,3,242.893787096,NA,NA,NA
3,100111,4,243.89974731,NA,NA,NA
3,100111,5,244.099757062,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA7.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P18.bmp
3,100111,6,245.099010248,NA,NA,NA
3,100111,7,246.14261729,1.04360704168,1,1
4,1001111,3,247.169636043,NA,NA,NA
4,1001111,4,248.175958481,NA,NA,NA
4,1001111,5,248.375962734,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA32.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P7.bmp
4,1001111,6,248.87504049,NA,NA,NA
4,1001111,7,249.922191323,1.04715083331,1,1
5,1010100,3,250.947080722,NA,NA,NA
5,1010100,4,251.956642287,NA,NA,NA
5,1010100,5,252.165008509,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA26.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P28.bmp
5,1010100,6,252.651773918,NA,NA,NA
5,1010100,7,253.652514132,1.00074021472,1,1
6,1110011,3,254.67859726,NA,NA,NA
6,1110011,4,255.684259408,NA,NA,NA
6,1110011,5,255.884316821,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P30.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA21.bmp
6,1110011,6,256.883758085,NA,NA,NA
6,1110011,7,257.786525257,0.902767171137,-1,1
7,11000,3,258.810813391,NA,NA,NA
7,11000,4,259.826630302,NA,NA,NA
7,11000,5,260.016360272,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P32.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA25.bmp
7,11000,6,261.015590727,NA,NA,NA
7,11000,7,261.918558809,0.902968081311,1,1
8,1111010,3,262.944296576,NA,NA,NA
8,1111010,4,263.950425436,NA,NA,NA
8,1111010,5,264.150623634,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P3.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA8.bmp
8,1111010,6,264.649679759,NA,NA,NA
8,1111010,7,265.761260068,1.11158030889,-1,1
9,10010,3,266.791023738,NA,NA,NA
9,10010,4,267.798710752,NA,NA,NA
9,10010,5,268.000747938,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/P29.bmp \\isilon1\homefolders\rkuplicki\Documents\StimTool\DotProbe\media/images/UCLA/PRACTICE/PA23.bmp
